ENGLISH,FRENCH,WORD_TYPE,EXTRA_HELP
air,l'air,,,
army,l'armée,,,
artist,l'artiste,,,
August,août,,,
bag,le sac,noun,
ball,la balle,,,
banana,la banane,,,
bird,l'oiseau,,,
blood,le sang,,,
boat,le bateau,,,
body,le corps,,,
bottle,la bouteille,,,
box,la boîte,noun,
bridge,le pont,noun,
brown,marron,,,
centimeter,le centimètre,,,
chair,la chaise,noun,
circle,le cercle,noun,
coat,le manteau,noun,
computer,l'ordinateur,,,
cook,cuisiner,verb,
cup,la tasse,,,
dead,mort,adjective/noun,
die,mourir,verb,
doctor,le docteur,,,
dream,le rêve,noun,
ear,l'oreille,,,
east,l'est,,,
egg,l'œuf,,,
face,le visage,noun,
fall,l'automne,,season
farm,la ferme,noun,
February,février,,,
fork,la fourchette,,,
game,le jeu,,,
hat,le chapeau,,,
hear,entendre,,a sound
heaven,le ciel,,,
horse,le cheval,,,
husband,le mari,,,
island,l'île,,,
it,il/elle/on (depends on the noun it replaces),pronoun,
January,janvier,,,
July,juillet,,,
June,juin,,,
knife,le couteau,,,
left,gauche,,direction
listen,écouter,verb,to music
location,l'emplacement,,,
May,mai,,,
medicine,le médicament,,,
minute,la minute,,,
moon,la lune,,,
mouth,la bouche,,,
neighbor,le voisin,,,
plane,l'avion,,,
salt,le sel,,,
shoes,les chaussures,,,
slow,lent,,,
spoon,la cuillère,,,
Tuesday,mardi,,,
wake up,se réveiller,verb,
year,l'année,,,
yellow,jaune,,,
adult,adulte,noun,
alive,vivant,adjective,
arm,le bras,noun,
attack (noun),l'attaque,noun,
author (noun),l'auteur,noun,
back (body),le dos,noun,
back (direction),arrière,noun,
band (music),le groupe,noun,music
beard,la barbe,noun,
beat (verb),battre,verb,
bend (verb),plier,verb,
beverage,la boisson,noun,
bill (noun),la facture,noun,
billion,le milliard,noun,
blind (adjective),aveugle,adjective,
bone,le os,noun,
bottom,le fond,noun,
brain,le cerveau,noun,
bridge (noun),le pont,noun,
build (verb),construire,verb,
building,le bâtiment,noun,
burn (verb),brûler,verb,
camera,l'appareil photo,noun,
camp (noun),le camp,noun,
card,la carte,noun,
catch (verb),attraper,verb,
ceiling,le plafond,noun,
cell phone,le téléphone portable,noun,
cheap,bon marché,adjective,
clay,l'argile,noun,
clean (adjective),propre,adjective,
clean (verb),nettoyer,verb,
clock,l'horloge,noun,
club (the location),le club,noun,
consonant,la consonne,noun,
contract (noun),le contrat,noun,
cool (adjective),cool,adjective,
copper,le cuivre,noun,
corn,le maïs,noun,
corner (noun),le coin,noun,
count (verb),compter,verb,
count (verb),compter,verb,
court,le tribunal,noun,
crowd (noun),la foule,noun,
cry (verb),pleurer,verb,
curved,courbé,adjective,
cut (verb),couper,verb,
dark,sombre,adjective,
date (May 7),la date,noun,
deaf,sourd,adjective,
death,la mort,noun,
deep,profond,adjective,
diamond,le diamant,noun,
dig (verb),creuser,verb,
dinner,le dîner,noun,
direction,la direction,noun,
dirty,sale,adjective,
disease,la maladie,noun,
dollar,le dollar,noun,
dot,le point,noun,
down,en bas,adjective,
draw (verb),dessiner,verb,
dress (noun),la robe,noun,
drug (noun),le médicament,noun,
dry,sec,adjective,
dust (noun),la poussière,noun,
edge,le bord,noun,
election,l'élection,noun,
electronics,l'électronique,noun,
energy,l'énergie,noun,
engine,le moteur,noun,
explode (verb),exploser,verb,
eye (noun),l'œil,noun,
famous,célèbre,adjective,
fan (electric),le ventilateur,noun,
fan (sport),le supporter,noun,
feed (verb),nourrir,verb,
female,féminin,adjective,
fight (verb),se battre,verb,
finger,le doigt,noun,
flat (adjective),plat,adjective,
floor,le sol,noun,
follow (verb),suivre,verb,
foot (measurement),le pied,noun,
front,le devant,noun,
gasoline,l'essence,noun,
glass,le verre,noun,
God,Dieu,noun,
gold,l'or,noun,
ground,le sol,noun,
grow (verb),croître,verb,
gun,le fusil,noun,
hair,les cheveux,noun,
hang (verb),suspendre,verb,
hard,dur,adjective,
healthy,sain,adjective,
heat (noun),la chaleur,noun,
heavy,lourd,adjective,
hell,l'enfer,noun,
hill,la colline,noun,
hole,le trou,noun,
human,l'humain,noun,
ice,la glace,noun,
image,l'image,noun,
inch,le pouce,noun,
injury,la blessure,noun,
